V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17_orig,label_simple,V17
000106b_,1.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,2.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5.0, C_M,Major,Major
000106b_,3.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2.0, C_M,Major,Major
000106b_,4.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,5.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,6.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4.0, D_m,Minor,Minor
000106b_,7.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2.0, D_m,Minor,Minor
000106b_,8.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3.0, F_M,Major,Major
000106b_,9.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2.0, F_M,Major,Major
000106b_,10.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,11.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,1.0, BbM,Major,Major
000106b_,12.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,C,2.0, BbM,Major,Major
000106b_,13.0,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,1.0, BbM,Major,Major
000106b_,14.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3.0, BbM,Major,Major
000106b_,15.0, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO,E,2.0, BbM,Major,Major
000106b_,16.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,17.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,18.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,19.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2.0, BbM,Major,Major
000106b_,20.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,1.0, BbM,Major,Major
000106b_,21.0, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO,A,3.0, C_M7,Seventh,Seventh
000106b_,22.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2.0, C_M7,Seventh,Seventh
000106b_,23.0, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,1.0, C_M7,Seventh,Seventh
000106b_,24.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,4.0, F_M,Major,Major
000106b_,25.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2.0, F_M,Major,Major
000106b_,26.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3.0, C_M,Major,Major
000106b_,27.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M,Major,Major
000106b_,28.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5.0, D_m7,Seventh,Seventh
000106b_,29.0, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES,F,2.0, D_m7,Seventh,Seventh
000106b_,30.0, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,F,1.0, D_m7,Seventh,Seventh
000106b_,31.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,G,3.0, G_M,Major,Major
000106b_,32.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4.0, C_M,Major,Major
000106b_,33.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,34.0, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,35.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,36.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2.0, BbM,Major,Major
000106b_,37.0,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C,3.0, A_m,Minor,Minor
000106b_,38.0,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,C,2.0, A_m,Minor,Minor
000106b_,39.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,D,4.0, C_M7,Seventh,Seventh
000106b_,40.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2.0, C_M7,Seventh,Seventh
000106b_,41.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,42.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,43.0,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5.0, C_M4,Suspended,Suspended
000106b_,44.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,2.0, C_M4,Suspended,Suspended
000106b_,45.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,1.0, C_M4,Suspended,Suspended
000106b_,46.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,3.0, C_M7,Seventh,Seventh
000106b_,47.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,2.0, C_M7,Seventh,Seventh
000106b_,48.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1.0, C_M7,Seventh,Seventh
000106b_,49.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,50.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,51.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5.0, C_M,Major,Major
000106b_,52.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2.0, C_M,Major,Major
000106b_,53.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,54.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,55.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4.0, D_m,Minor,Minor
000106b_,56.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2.0, D_m,Minor,Minor
000106b_,57.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3.0, F_M,Major,Major
000106b_,58.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2.0, F_M,Major,Major
000106b_,59.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,60.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,1.0, BbM,Major,Major
000106b_,61.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,C,2.0, BbM,Major,Major
000106b_,62.0,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,1.0, BbM,Major,Major
000106b_,63.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3.0, BbM,Major,Major
000106b_,64.0, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO,E,2.0, BbM,Major,Major
000106b_,65.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,66.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,67.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,68.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2.0, BbM,Major,Major
000106b_,69.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,1.0, BbM,Major,Major
000106b_,70.0, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO,A,3.0, C_M7,Seventh,Seventh
000106b_,71.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2.0, C_M7,Seventh,Seventh
000106b_,72.0, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,1.0, C_M7,Seventh,Seventh
000106b_,73.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,4.0, F_M,Major,Major
000106b_,74.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2.0, F_M,Major,Major
000106b_,75.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3.0, C_M,Major,Major
000106b_,76.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M,Major,Major
000106b_,77.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5.0, D_m7,Seventh,Seventh
000106b_,78.0, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES,F,2.0, D_m7,Seventh,Seventh
000106b_,79.0, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,F,1.0, D_m7,Seventh,Seventh
000106b_,80.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,G,3.0, G_M,Major,Major
000106b_,81.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4.0, C_M,Major,Major
000106b_,82.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
