n station0 station1 station2 station3
1 0.919963 0.036799 0.030359 0.012879
2 1.835445 0.076119 0.062409 0.026027
3 2.746074 0.118204 0.096276 0.039446
4 3.651442 0.163322 0.132099 0.053137
5 4.551098 0.211776 0.170026 0.067101
6 5.444541 0.263903 0.210218 0.081338
7 6.331220 0.320082 0.252851 0.095847
8 7.210525 0.380739 0.298113 0.110623
9 8.081780 0.446353 0.346205 0.125661
10 8.944239 0.517461 0.397346 0.140955
11 9.797074 0.594667 0.451767 0.156492
12 10.639374 0.678650 0.509714 0.172261
13 11.470134 0.770174 0.571449 0.188244
14 12.288245 0.870093 0.637241 0.204420
15 13.092495 0.979367 0.707374 0.220764
16 13.881554 1.099068 0.782133 0.237245
17 14.653978 1.230388 0.861806 0.253828
18 15.408206 1.374651 0.946674 0.270469
19 16.142560 1.533318 1.037002 0.287121
20 16.855256 1.707989 1.133028 0.303727
21 17.544422 1.900404 1.234951 0.320224
22 18.208112 2.112435 1.342910 0.336543
23 18.844349 2.346073 1.456970 0.352608
24 19.451162 2.603400 1.577100 0.368337
25 20.026643 2.886560 1.703152 0.383645
26 20.569011 3.197708 1.834838 0.398443
27 21.076688 3.538951 1.971717 0.412644
28 21.548378 3.912282 2.113178 0.426163
29 21.983147 4.319496 2.258436 0.438922
30 22.380492 4.762118 2.406538 0.450853
31 22.740404 5.241315 2.556380 0.461902
32 23.063400 5.757838 2.706733 0.472030
33 23.350531 6.311964 2.856288 0.481218
34 23.603356 6.903476 3.003704 0.489464
35 23.823887 7.531660 3.147665 0.496787
36 24.014498 8.195342 3.286935 0.503224
37 24.177828 8.892936 3.420410 0.508826
38 24.316661 9.622527 3.547157 0.513654
39 24.433818 10.381956 3.666446 0.517781
40 24.532053 11.168910 3.777757 0.521280
41 24.613976 11.981010 3.880787 0.524226
42 24.681991 12.815887 3.975429 0.526693
43 24.738259 13.671239 4.061754 0.528748
44 24.784684 14.544881 4.139981 0.530454
45 24.822916 15.434772 4.210447 0.531865
46 24.854362 16.339031 4.273577 0.533029
47 24.880208 17.255948 4.329854 0.533989
48 24.901445 18.183980 4.379795 0.534780
49 24.918895 19.121743 4.423932 0.535430
50 24.933235 20.068006 4.462794 0.535965
51 24.945024 21.021676 4.496894 0.536406
52 24.954719 21.981789 4.526724 0.536768
53 24.962695 22.947496 4.552743 0.537066
54 24.969259 23.918049 4.575380 0.537312
55 24.974664 24.892796 4.595027 0.537514
56 24.979114 25.871164 4.612041 0.537680
57 24.982781 26.852656 4.626745 0.537817
58 24.985802 27.836839 4.639428 0.537930
59 24.988292 28.823334 4.650350 0.538024
60 24.990345 29.811817 4.659738 0.538100
61 24.992037 30.802002 4.667797 0.538164
62 24.993432 31.793648 4.674704 0.538216
63 24.994583 32.786542 4.680616 0.538259
64 24.995532 33.780503 4.685671 0.538294
65 24.996314 34.775375 4.689987 0.538324
66 24.996960 35.771024 4.693668 0.538348
67 24.997492 36.767335 4.696805 0.538368
68 24.997931 37.764210 4.699475 0.538384
69 24.998293 38.761563 4.701746 0.538398
70 24.998592 39.759324 4.703676 0.538409
71 24.998838 40.757430 4.705314 0.538418
72 24.999042 41.755829 4.706703 0.538426
73 24.999209 42.754477 4.707881 0.538432
74 24.999348 43.753336 4.708879 0.538437
75 24.999462 44.752373 4.709724 0.538441
76 24.999556 45.751560 4.710439 0.538445
77 24.999634 46.750875 4.711043 0.538448
78 24.999698 47.750298 4.711553 0.538450
79 24.999751 48.749812 4.711985 0.538452
80 24.999794 49.749403 4.712349 0.538454
