n station0 station1 station2 station3
1 0.919963 0.036799 0.030359 0.012879
2 0.917722 0.073418 0.060570 0.025696
3 0.915358 0.109843 0.090620 0.038445
4 0.912861 0.146058 0.120498 0.051120
5 0.910220 0.182044 0.150186 0.063715
6 0.907423 0.217782 0.179670 0.076224
7 0.904460 0.253249 0.208930 0.088637
8 0.901316 0.288421 0.237947 0.100947
9 0.897976 0.323271 0.266699 0.113145
10 0.894424 0.357770 0.295160 0.125219
11 0.890643 0.391883 0.323303 0.137159
12 0.886615 0.425575 0.351099 0.148951
13 0.882318 0.458805 0.378514 0.160582
14 0.877732 0.491530 0.405512 0.172035
15 0.872833 0.523700 0.432052 0.183295
16 0.867597 0.555262 0.458091 0.194342
17 0.861999 0.586159 0.483581 0.205156
18 0.856011 0.616328 0.508471 0.215715
19 0.849608 0.645702 0.532704 0.225996
20 0.842763 0.674210 0.556223 0.235974
21 0.835449 0.701777 0.578966 0.245622
22 0.827641 0.728324 0.600868 0.254914
23 0.819320 0.753774 0.621864 0.263821
24 0.810465 0.778046 0.641888 0.272316
25 0.801066 0.801066 0.660879 0.280373
26 0.791116 0.822760 0.678777 0.287966
27 0.780618 0.843068 0.695531 0.295074
28 0.769585 0.861935 0.711096 0.301677
29 0.758040 0.879326 0.725444 0.307764
30 0.746016 0.895220 0.738556 0.313327
31 0.733561 0.909616 0.750433 0.318366
32 0.720731 0.922536 0.761092 0.322888
33 0.707592 0.934021 0.770568 0.326907
34 0.694216 0.944134 0.778911 0.330447
35 0.680682 0.952955 0.786188 0.333534
36 0.667069 0.960580 0.792478 0.336203
37 0.653455 0.967113 0.797868 0.338490
38 0.639912 0.972666 0.802450 0.340433
39 0.626508 0.977353 0.806316 0.342073
40 0.613301 0.981282 0.809558 0.343449
41 0.600341 0.984559 0.812261 0.344596
42 0.587666 0.987280 0.814506 0.345548
43 0.575308 0.989530 0.816363 0.346336
44 0.563288 0.991387 0.817895 0.346986
45 0.551620 0.992917 0.819156 0.347521
46 0.540312 0.994174 0.820194 0.347961
47 0.529366 0.995208 0.821047 0.348323
48 0.518780 0.996058 0.821748 0.348620
49 0.508549 0.996756 0.822324 0.348865
50 0.498665 0.997329 0.822797 0.349065
51 0.489118 0.997801 0.823186 0.349230
52 0.479898 0.998189 0.823506 0.349366
53 0.470994 0.998508 0.823769 0.349478
54 0.462394 0.998770 0.823986 0.349570
55 0.454085 0.998987 0.824164 0.349645
56 0.446056 0.999165 0.824311 0.349708
57 0.438294 0.999311 0.824432 0.349759
58 0.430790 0.999432 0.824531 0.349801
59 0.423530 0.999532 0.824614 0.349836
60 0.416506 0.999614 0.824681 0.349865
61 0.409706 0.999681 0.824737 0.349889
62 0.403120 0.999737 0.824783 0.349908
63 0.396739 0.999783 0.824821 0.349924
64 0.390555 0.999821 0.824853 0.349937
65 0.384559 0.999853 0.824878 0.349948
66 0.378742 0.999878 0.824900 0.349957
67 0.373097 0.999900 0.824917 0.349965
68 0.367617 0.999917 0.824932 0.349971
69 0.362294 0.999932 0.824944 0.349976
70 0.357123 0.999944 0.824954 0.349980
71 0.352096 0.999954 0.824962 0.349984
72 0.347209 0.999962 0.824968 0.349987
73 0.342455 0.999968 0.824974 0.349989
74 0.337829 0.999974 0.824978 0.349991
75 0.333326 0.999978 0.824982 0.349992
76 0.328942 0.999982 0.824985 0.349994
77 0.324671 0.999985 0.824988 0.349995
78 0.320509 0.999988 0.824990 0.349996
79 0.316453 0.999990 0.824992 0.349997
80 0.312497 0.999992 0.824993 0.349997
